2026-05-04 19:10:51 [main] INFO  c.e.C.ComputerStoreApplicationTests - Started ComputerStoreApplicationTests in 9.231 seconds (process running for 11.207)
2026-05-04 19:10:54 [main] INFO  c.e.C.service.ProductService - Product saved: id=1, name=Test Product
2026-05-04 19:10:54 [main] INFO  c.e.C.service.ProductService - Product deleted: id=1
2026-05-04 19:10:55 [main] INFO  c.e.C.service.UserService - New user registered: johndoe
2026-05-04 19:10:55 [main] WARN  c.e.C.service.UserService - Failed login attempt for user: johndoe
2026-05-04 19:10:55 [main] INFO  c.e.C.service.UserService - User deleted: id=1
2026-05-04 19:10:55 [main] INFO  c.e.C.service.UserService - User updated: id=1
2026-05-04 19:10:55 [main] INFO  c.e.C.service.UserService - User logged in: johndoe
2026-05-04 19:10:55 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.ComputerStore.StoreIntegrationTest]: StoreIntegrationTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-05-04 19:10:55 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.ComputerStore.ComputerStoreApplication for test class com.example.ComputerStore.StoreIntegrationTest
2026-05-04 19:10:55 [main] INFO  c.e.C.StoreIntegrationTest - Starting StoreIntegrationTest using Java 21.0.2 with PID 21604 (started by Admin in D:\ComputerStore\ComputerStore)
2026-05-04 19:10:55 [main] DEBUG c.e.C.StoreIntegrationTest - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-05-04 19:10:55 [main] INFO  c.e.C.StoreIntegrationTest - The following 1 profile is active: "test"
2026-05-04 19:10:56 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-05-04 19:10:56 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 41 ms. Found 11 JPA repository interfaces.
2026-05-04 19:10:56 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-05-04 19:10:56 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-05-04 19:10:56 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-05-04 19:10:56 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-05-04 19:10:57 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2026-05-04 19:10:57 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-05-04 19:10:57 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
